"Table 2. Per Capita Personal Income, by Metropolitan Area, 2020–2022",,,,,,,
"Lake Havasu City-Kingman, AZ","40,229","42,777","44,645",366,6.3,4.4,20
"Lakeland-Winter Haven, FL","40,807","43,915","43,223",372,7.6,-1.6,353
"Lancaster, PA","57,816","61,775","63,044",91,6.8,2.1,123
"Lansing-East Lansing, MI","47,089","51,544","50,647",274,9.5,-1.7,356
"Laredo, TX","37,015","41,051","40,873",380,10.9,-0.4,313
"Las Cruces, NM","40,871","45,649","45,361",353,11.7,-0.6,319
"Las Vegas-Henderson-Paradise, NV","52,562","58,388","59,150",133,11.1,1.3,192
"Lawrence, KS","48,676","51,852","52,799",235,6.5,1.8,142
"Lawton, OK","45,691","48,393","47,719",317,5.9,-1.4,349
"Lebanon, PA","52,362","55,937","56,207",178,6.8,0.5,258
"Lewiston, ID-WA","48,266","52,368","54,393",211,8.5,3.9,34
"Lewiston-Auburn, ME","45,865","48,186","49,055",300,5.1,1.8,144
"Lexington-Fayette, KY","53,274","56,894","57,875",152,6.8,1.7,152
"Lima, OH","46,952","49,896","50,195",281,6.3,0.6,246
"Lincoln, NE","53,446","59,189","60,299",121,10.7,1.9,138
"Little Rock-North Little Rock-Conway, AR","50,911","54,900","55,848",182,7.8,1.7,150
"Logan, UT-ID","42,741","48,001","48,059",314,12.3,0.1,279
"Longview, TX","46,367","49,559","50,727",271,6.9,2.4,100
"Longview, WA","49,999","54,131","54,630",202,8.3,0.9,227
"Los Angeles-Long Beach-Anaheim, CA","69,362","75,379","76,445",21,8.7,1.4,180
"Louisville/Jefferson County, KY-IN","54,631","60,373","61,490",104,10.5,1.9,140
"Lubbock, TX","48,010","52,033","52,295",247,8.4,0.5,251
"Lynchburg, VA","44,166","47,456","48,255",312,7.4,1.7,156
"Macon-Bibb County, GA","43,140","47,487","46,470",339,10.1,-2.1,366
"Madera, CA","44,394","47,533","46,406",341,7.1,-2.4,371
"Madison, WI","63,791","70,349","71,516",38,10.3,1.7,157
"Manchester-Nashua, NH","66,256","69,833","71,761",35,5.4,2.8,74
"Manhattan, KS","48,378","51,591","52,544",238,6.6,1.8,141
"Mankato, MN","49,812","53,109","54,537",206,6.6,2.7,81
"Mansfield, OH","42,685","45,205","44,998",359,5.9,-0.5,314
"McAllen-Edinburg-Mission, TX","31,310","34,614","33,525",384,10.6,-3.1,382
"Medford, OR","51,850","56,928","57,552",158,9.8,1.1,212
"Memphis, TN-MS-AR","51,325","56,579","56,440",174,10.2,-0.2,302
"Merced, CA","44,163","47,574","46,188",345,7.7,-2.9,378
"Miami-Fort Lauderdale-Pompano Beach, FL","64,949","74,463","77,732",20,14.6,4.4,18
"Michigan City-La Porte, IN","44,985","49,144","49,992",283,9.2,1.7,151
"Midland, MI","56,589","60,150","60,842",111,6.3,1.2,208
"Midland, TX","106,217","123,682","143,728",1,16.4,16.2,1
"Milwaukee-Waukesha, WI","60,530","66,586","68,155",56,10.0,2.4,101
"Minneapolis-St. Paul-Bloomington, MN-WI","66,431","72,654","75,164",24,9.4,3.5,55
"Missoula, MT","57,586","61,813","63,790",84,7.3,3.2,63
"Mobile, AL","42,339","47,245","47,447",324,11.6,0.4,262
"Modesto, CA","48,532","52,130","51,015",267,7.4,-2.1,365
"Monroe, LA","43,343","46,581","46,638",337,7.5,0.1,278
"Monroe, MI","49,721","52,634","52,998",233,5.9,0.7,243
"Montgomery, AL","45,527","48,911","49,134",298,7.4,0.5,259
"Morgantown, WV","47,392","51,419","52,114",250,8.5,1.4,189
"Morristown, TN","40,503","45,087","45,286",355,11.3,0.4,260
"Mount Vernon-Anacortes, WA","57,890","62,412","62,915",93,7.8,0.8,235
"Muncie, IN","41,680","45,087","45,465",352,8.2,0.8,233
"Muskegon, MI","43,376","46,019","45,571",350,6.1,-1.0,332
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","46,773","50,432","50,217",280,7.8,-0.4,312
"Napa, CA","81,905","87,422","86,863",10,6.7,-0.6,320
"Naples-Marco Island, FL","110,993","126,031","131,160",3,13.5,4.1,27
"Nashville-Davidson--Murfreesboro--Franklin, TN","63,891","70,507","74,035",30,10.4,5.0,10
"New Bern, NC","48,889","53,548","53,690",222,9.5,0.3,269
"New Haven-Milford, CT","60,506","63,599","64,829",76,5.1,1.9,132
"New Orleans-Metairie, LA","56,248","61,860","61,801",103,10.0,-0.1,291
"New York-Newark-Jersey City, NY-NJ-PA","76,868","83,962","84,084",14,9.2,0.1,275
"Niles, MI","53,645","59,719","60,311",120,11.3,1.0,223
"North Port-Sarasota-Bradenton, FL","64,391","70,878","72,316",33,10.1,2.0,124
"Norwich-New London, CT","61,119","64,182","64,847",75,5.0,1.0,220
"Ocala, FL","40,896","45,009","44,521",367,10.1,-1.1,336
"Ocean City, NJ","68,836","73,458","71,590",37,6.7,-2.5,374
"Odessa, TX","48,111","52,703","55,448",185,9.5,5.2,8
"Ogden-Clearfield, UT","48,181","52,671","54,671",199,9.3,3.8,35
"Oklahoma City, OK","53,642","59,059","60,687",113,10.1,2.8,75
"Olympia-Lacey-Tumwater, WA","54,831","59,001","59,697",128,7.6,1.2,205
"Omaha-Council Bluffs, NE-IA","59,897","65,275","68,586",51,9.0,5.1,9
"Orlando-Kissimmee-Sanford, FL","47,705","53,183","53,959",218,11.5,1.5,175
"Oshkosh-Neenah, WI","51,855","56,253","56,878",168,8.5,1.1,211
"Owensboro, KY","45,559","49,723","49,701",287,9.1,0.0,286
"Oxnard-Thousand Oaks-Ventura, CA","68,273","74,527","76,375",22,9.2,2.5,93
"Palm Bay-Melbourne-Titusville, FL","51,212","55,934","56,817",169,9.2,1.6,163
"Panama City, FL","50,069","54,638","54,268",214,9.1,-0.7,321
"Parkersburg-Vienna, WV","47,676","54,708","57,251",161,14.7,4.6,13
"Pensacola-Ferry Pass-Brent, FL","48,606","53,389","54,221",215,9.8,1.6,167
"Peoria, IL","51,961","56,157","56,918",166,8.1,1.4,188
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","67,745","71,809","73,291",31,6.0,2.1,121
"Phoenix-Mesa-Chandler, AZ","54,747","59,518","61,840",102,8.7,3.9,33
"Pine Bluff, AR","37,396","40,641","40,525",381,8.7,-0.3,303
"Pittsburgh, PA","61,414","65,473","65,792",68,6.6,0.5,255
"Pittsfield, MA","61,119","64,444","64,758",77,5.4,0.5,254
"Pocatello, ID","42,795","46,021","47,470",323,7.5,3.1,66
"Portland-South Portland, ME","63,483","69,217","71,990",34,9.0,4.0,31
"Portland-Vancouver-Hillsboro, OR-WA","62,550","68,356","69,435",47,9.3,1.6,164
"Port St. Lucie, FL","62,331","67,616","70,400",44,8.5,4.1,26
"Poughkeepsie-Newburgh-Middletown, NY","58,949","61,669","62,509",97,4.6,1.4,187
"Prescott Valley-Prescott, AZ","46,954","50,065","51,747",256,6.6,3.4,58
"Providence-Warwick, RI-MA","59,500","63,778","63,746",85,7.2,-0.1,288
"Provo-Orem, UT","47,125","51,044","53,731",221,8.3,5.3,7
"Pueblo, CO","43,256","46,883","47,208",329,8.4,0.7,242
"Punta Gorda, FL","48,422","52,777","53,227",230,9.0,0.9,232
"Racine, WI","52,951","56,680","57,574",157,7.0,1.6,165
"Raleigh-Cary, NC","61,360","68,443","70,628",41,11.5,3.2,64
"Rapid City, SD","57,839","63,583","65,807",67,9.9,3.5,52
"Reading, PA","54,418","58,311","58,199",147,7.2,-0.2,296
"Redding, CA","51,246","54,546","54,120",217,6.4,-0.8,326
"Reno, NV","65,134","75,364","78,077",18,15.7,3.6,44
"Richmond, VA","61,305","65,915","68,205",54,7.5,3.5,53
"Riverside-San Bernardino-Ontario, CA","47,177","50,572","50,407",277,7.2,-0.3,306
"Roanoke, VA","49,773","53,519","55,243",190,7.5,3.2,62
"Rochester, MN","58,916","63,670","65,003",73,8.1,2.1,117
"Rochester, NY","55,630","58,358","57,902",151,4.9,-0.8,327
"Rockford, IL","47,136","51,344","50,806",269,8.9,-1.0,335
"Rocky Mount, NC","44,516","47,945","48,298",311,7.7,0.7,238
"Rome, GA","40,944","44,304","44,126",370,8.2,-0.4,310
"Sacramento-Roseville-Folsom, CA","61,712","66,696","66,940",64,8.1,0.4,264
"Saginaw, MI","45,686","48,577","47,700",318,6.3,-1.8,359
"St. Cloud, MN","53,197","57,138","58,261",144,7.4,2.0,129
"St. George, UT","45,360","49,425","50,746",270,9.0,2.7,82
"St. Joseph, MO-KS","43,464","46,420","46,980",333,6.8,1.2,202
"St. Louis, MO-IL","61,190","66,848","69,698",46,9.2,4.3,24
"Salem, OR","48,434","52,920","53,589",225,9.3,1.3,198
"Salinas, CA","60,216","64,799","65,123",71,7.6,0.5,252
"Salisbury, MD-DE","52,014","57,038","58,936",136,9.7,3.3,61
"Salt Lake City, UT","56,393","62,421","65,085",72,10.7,4.3,23
"San Angelo, TX","56,198","61,053","63,284",89,8.6,3.7,40
"San Antonio-New Braunfels, TX","50,165","54,459","55,180",192,8.6,1.3,191
"San Diego-Chula Vista-Carlsbad, CA","67,536","73,350","74,326",29,8.6,1.3,190
"San Francisco-Oakland-Berkeley, CA","107,815","124,398","123,736",5,15.4,-0.5,317
"San Jose-Sunnyvale-Santa Clara, CA","122,544","141,739","141,516",2,15.7,-0.2,293
"San Luis Obispo-Paso Robles, CA","63,024","68,717","67,951",57,9.0,-1.1,337
"Santa Cruz-Watsonville, CA","78,299","88,997","86,365",11,13.7,-3.0,381
"Santa Fe, NM","63,104","72,940","74,751",27,15.6,2.5,92
"Santa Maria-Santa Barbara, CA","68,801","76,910","75,720",23,11.8,-1.5,352
"Santa Rosa-Petaluma, CA","71,866","78,558","77,900",19,9.3,-0.8,328
"Savannah, GA","50,339","55,331","55,383",187,9.9,0.1,281
"Scranton--Wilkes-Barre, PA","49,892","52,976","52,304",246,6.2,-1.3,346
"Seattle-Tacoma-Bellevue, WA","81,785","90,194","92,113",9,10.3,2.1,114
"Sebastian-Vero Beach, FL","87,110","99,515","105,250",6,14.2,5.8,5
"Sebring-Avon Park, FL","38,713","41,693","41,845",378,7.7,0.4,265
"Sheboygan, WI","54,964","58,813","60,359",119,7.0,2.6,84
"Sherman-Denison, TX","48,865","52,873","53,393",229,8.2,1.0,224
"Shreveport-Bossier City, LA","52,235","55,374","55,858",181,6.0,0.9,230
"Sierra Vista-Douglas, AZ","46,835","49,445","50,195",281,5.6,1.5,170
"Sioux City, IA-NE-SD","53,474","57,441","59,427",131,7.4,3.5,54
"Sioux Falls, SD","66,620","72,093","74,725",28,8.2,3.7,42
"South Bend-Mishawaka, IN-MI","50,113","55,221","56,410",176,10.2,2.2,113
"Spartanburg, SC","47,726","52,220","52,621",237,9.4,0.8,236
"Spokane-Spokane Valley, WA","48,577","53,887","53,620",223,10.9,-0.5,316
"Springfield, IL","52,228","57,827","57,178",162,10.7,-1.1,338
"Springfield, MA","59,263","60,597","60,461",116,2.3,-0.2,300
"Springfield, MO","45,566","48,226","49,533",290,5.8,2.7,78
"Springfield, OH","44,342","47,344","47,151",330,6.8,-0.4,311
"State College, PA","52,013","55,107","54,686",198,5.9,-0.8,325
"Staunton, VA","47,467","51,192","52,910",234,7.8,3.4,59
"Stockton, CA","51,317","55,827","54,183",216,8.8,-2.9,379
"Sumter, SC","42,396","46,391","46,288",343,9.4,-0.2,299
"Syracuse, NY","55,046","58,098","57,576",156,5.5,-0.9,329
"Tallahassee, FL","47,474","52,041","52,359",244,9.6,0.6,245
"Tampa-St. Petersburg-Clearwater, FL","53,629","58,517","60,091",123,9.1,2.7,80
"Terre Haute, IN","41,804","45,615","45,783",347,9.1,0.4,263
"Texarkana, TX-AR","42,609","46,238","46,472",338,8.5,0.5,250
"The Villages, FL","59,621","68,524","69,224",48,14.9,1.0,221
"Toledo, OH","50,875","54,212","54,483",208,6.6,0.5,253
"Topeka, KS","50,122","53,456","54,500",207,6.7,2.0,131
"Trenton-Princeton, NJ","72,811","77,984","79,354",17,7.1,1.8,148
"Tucson, AZ","49,601","53,034","54,464",209,6.9,2.7,79
"Tulsa, OK","55,882","60,830","62,618",96,8.9,2.9,69
"Tuscaloosa, AL","39,192","41,225","41,350",379,5.2,0.3,268
"Twin Falls, ID","43,105","46,368","48,305",310,7.6,4.2,25
"Tyler, TX","55,450","63,074","66,784",65,13.8,5.9,4
"Urban Honolulu, HI","60,273","64,193","64,936",74,6.5,1.2,206
"Utica-Rome, NY","49,228","52,213","51,162",265,6.1,-2.0,361
"Valdosta, GA","40,260","43,123","42,469",377,7.1,-1.5,351
"Vallejo, CA","57,029","59,873","58,273",143,5.0,-2.7,376
"Victoria, TX","53,446","57,395","58,905",138,7.4,2.6,83
"Vineland-Bridgeton, NJ","44,000","48,073","46,791",334,9.3,-2.7,375
"Virginia Beach-Norfolk-Newport News, VA-NC","52,283","56,699","57,873",153,8.4,2.1,120
"Visalia, CA","45,523","48,626","47,295",328,6.8,-2.7,377
"Waco, TX","45,394","49,508","49,798",286,9.1,0.6,248
"Walla Walla, WA","49,569","54,897","55,436",186,10.7,1.0,225
"Warner Robins, GA","44,845","48,567","47,478",322,8.3,-2.2,369
"Washington-Arlington-Alexandria, DC-VA-MD-WV","75,141","81,121","83,010",15,8.0,2.3,105
"Waterloo-Cedar Falls, IA","50,161","53,960","55,247",189,7.6,2.4,98
"Watertown-Fort Drum, NY","50,260","52,354","51,749",255,4.2,-1.2,340
"Wausau-Weston, WI","53,612","57,969","58,770",140,8.1,1.4,183
"Weirton-Steubenville, WV-OH","44,101","47,495","47,725",316,7.7,0.5,257
"Wenatchee, WA","53,692","57,775","57,853",154,7.6,0.1,277
"Wheeling, WV-OH","47,389","51,988","53,193",231,9.7,2.3,106
"Wichita, KS","52,170","56,110","58,165",149,7.6,3.7,39
"Wichita Falls, TX","47,841","51,082","51,731",257,6.8,1.3,197
"Williamsport, PA","48,046","50,730","49,869",285,5.6,-1.7,355
"Wilmington, NC","52,233","57,695","58,526",142,10.5,1.4,176
"Winchester, VA-WV","53,138","57,743","59,702",127,8.7,3.4,57
"Winston-Salem, NC","48,648","53,204","54,330",213,9.4,2.1,115
"Worcester, MA-CT","59,994","63,142","63,475",87,5.2,0.5,249
"Yakima, WA","45,996","49,637","49,266",295,7.9,-0.7,323
"York-Hanover, PA","54,395","57,656","57,321",160,6.0,-0.6,318
"Youngstown-Warren-Boardman, OH-PA","45,478","48,647","48,645",305,7.0,0.0,285
"Yuba City, CA","47,794","51,401","50,252",279,7.5,-2.2,368
"Yuma, AZ","42,177","44,285","44,811",364,5.0,1.2,203
"1. Per capita personal income was computed using U.S. Census Bureau midyear population estimates for 2020 through 2022, released in March 2023.",,,,,,,
"Note. Metropolitan areas are defined (geographically delineated) by the Office of Management and Budget (OMB) Bulletin No. 20-01, issued March 6, 2020.",,,,,,,
U.S. Bureau of Economic Analysis,,,,,,,
